Well,Tm
A1,66.0
A2,41.0
A3,42.0
A4,52.0
A5,40.0
A6,41.0
A7,77.0
A8,0.0
A9,33.0
A10,34.0
A11,35.0
A12,39.0
B1,39.0
B2,41.0
B3,44.0
B4,44.0
B5,55.0
B6,53.0
B7,51.0
B8,0.0
B9,49.0
B10,33.0
B11,34.0
B12,39.0
C1,82.0
C2,62.0
C3,61.0
C4,75.0
C5,59.0
C6,55.0
C7,55.0
C8,52.0
C9,56.0
C10,51.0
C11,49.0
C12,39.0
D1,83.0
D2,66.0
D3,63.0
D4,79.0
D5,82.0
D6,57.0
D7,55.0
D8,53.0
D9,51.0
D10,47.0
D11,48.0
D12,41.0
E1,46.0
E2,62.0
E3,46.0
E4,56.0
E5,56.0
E6,58.0
E7,55.0
E8,55.0
E9,52.0
E10,45.0
E11,48.0
E12,41.0
F1,61.0
F2,60.0
F3,59.0
F4,55.0
F5,55.0
F6,53.0
F7,51.0
F8,51.0
F9,45.0
F10,40.0
F11,0.0
F12,41.0
G1,63.0
G2,58.0
G3,58.0
G4,52.0
G5,51.0
G6,55.0
G7,55.0
G8,53.0
G9,48.0
G10,48.0
G11,48.0
G12,63.0
H1,37.0
H2,79.0
H3,37.0
H4,38.0
H5,39.0
H6,39.0
H7,39.0
H8,40.0
H9,40.0
H10,40.0
H11,40.0
H12,59.0
